地域,章,名称,国名,登録基準,場所,特殊遺産,時代・王朝,人種・民族,政治家,芸術家,生物,植物,構成資産,構成資産の詳細,美術品,建築・絵画の様式,文化,宗教,バイオーム,特徴
基礎知識,世界遺産条約,暫定リスト,潜在的なOUVがあり世界遺産に推薦する可能性がある締約国が判断した各締約国内の遺産のリスト,,,,,,,,,,,,,,,,,"暫定リストに記載されプレリミナリー・アセスメントを実施した遺産のみ世界遺産に推薦することができる
遺産の管理者や地方自治体、地域社会、先住民族、NGOなどの権利・利害関係者と協議しながら作成することが推奨されている"
基礎知識,世界遺産条約,世界遺産条約締約国会議,世界遺産条約を採択した全締約国による会議,,,,,,,,,,,,,,,,,世界遺産基金への分担金拠出の分担比率の決定や世界遺産委員会委員国の選定を行う
基礎知識,世界遺産条約,世界遺産委員会事務局（世界遺産センター）,世界遺産委員会を補佐する世界遺産委員会事務局の役割を担うために1992年に設立し、パリのUNESCO内部に常設されている,,,,,,,,,,,,,,,,,"世界遺産リスト記載のための推薦書の受理、事務局での登録、書類内容が完全であるかの確認を行う
グローバル・ストラテジーの一環としての研究やその他の活動の調整
リアクティヴ・モニタリングの調整と実施"
基礎知識,世界遺産条約,世界遺産基金,UNESCOの財政規則に基づき1976年に設立,,,,,,,,,,,,,,,,,"拠出金の支払いが延滞している締約国は、世界遺産委員会の委員国に選出される資格がないのと同時に、緊急援助以外の国際的援助も受けることができない
現在、世界遺産基金は資金が大きく不足しており、緊急援助よりも準備援助に優先的に予算が振り分けられるなど課題が多い"
基礎知識,世界遺産条約,国際的援助,世界遺産基金を第一の資金源とする国際的な支援の仕組み,,,,,,,,,,,,,,,,,"緊急援助、保全・管理援助、準備援助という3つの分野がある
ジェンダー平等や地域コミュニティと先住民の関与についての活動と関係しているかどうかなども考慮される"
基礎知識,UNESCOの世界遺産委員会の諮問機関,UNESCO,フランスのパリに本部を置く国際連合の専門機関,,,,,,,,,,,,,,,,,"1945年に「国際連合教育科学文化機関憲章（UNESCO憲章）」が採択された
教育や科学、文化を通じて諸国民の連帯を促進し、基本的自由が尊重される世界の平和と福祉に貢献することを目的としている
諸国間、諸民族の交流を進め、文化の多様性を理解・尊重しあることが、世界の平和につながると説いた
松浦晃一郎氏は日本人かつアジアン人として初UNESCO事務局長を務め、無形文化遺産条約の成立などに尽力した"
基礎知識,UNESCOの世界遺産委員会の諮問機関,世界遺産委員会の諮問機関,"ICCROM
ICOMOS
IUCN",,,,,,,,,,,,,,,,,"それぞれの専門分野について世界遺産条約履行に関する助言を行う
諮問機関の負担の増加が課題となっている"
基礎知識,UNESCOの世界遺産委員会の諮問機関,ICCROM,文化財の保存及び修復の研究のための国際センター,,,,,,,,,,,,,,,,,"イタリアのローマに置く国際的な政府間機関で1959年に改設された
不動産や動産の文化遺産の保全強化を目的とした"
基礎知識,UNESCOの世界遺産委員会の諮問機関,ICOMOS,国際記念物遺跡会議,,,,,,,,,,,,,,,,,"フランスのパリに置く非政府機関で、ヴェネツィア憲章の原則をもとに1965年に設立された
2017年から2020年まで会長を務めた河野俊之氏は名誉会長を務め、大窪健之氏は2021年より理事を務めている"
基礎知識,UNESCOの世界遺産委員会の諮問機関,IUCN,国際自然保護連合,,,,,,,,,,,,,,,,,"スイスのグランにおく世界的組織で、1948年に設立された
文化的景観の価値で推薦された文化遺産の自然の価値や保全管理などについてICOMOSへ助言を行う"
基礎知識,世界遺産の定義,顕著な普遍的価値,,,,,,,,,,,,,,,,,,"人類全体にとって現在だけでなく将来世代にも共通した重要性を持つ
真正性や完全性、法的な保護もバッファー・ゾーンの設定を含む保全管理、登録基準との適合などが含まれる
世界遺産リストに遺産を記載する際には顕著な普遍的価値の言明（SOUV）を採択する"
基礎知識,世界遺産の定義,文化遺産,,,,,,,,,,,,,,,,,,人類の歴史が生み出した記念物や建造物群、遺跡、文化的景観
基礎知識,世界遺産の定義,自然遺産,,,,,,,,,,,,,,,,,,地球の生成や動植物の進化を示す
基礎知識,世界遺産の定義,複合遺産,,,,,,,,,,,,,,,,,,文化遺産と自然遺産、両方の価値を兼ね備えている
基礎知識,世界遺産の定義,危機遺産,危機にさらされている世界遺産リスト,,,,,,,,,,,,,,,,,"重大かつ明確な危険にさらされており、その脅威が人間の関与により改善可能である
世界遺産条約に基づく援助がその遺産に対し要請されている場合、委員会はその遺産を危機遺産リストに記載することができる
1979年にモンテネグロの「コトルの文化歴史地域と自然」がはじめて危機遺産リストに記載された
危機遺産リストへの登録基準には「明白な危機」と「潜在的な危機」が文化遺産と自然遺産でそれぞれ定められている
危機遺産リストへの記載を検討する際、未知の原因又は予期できない原因についても考慮すべきである
危機にさらされている世界遺産リストから当該遺産を削除するための望ましい保全状況と改善措置計画を策定し採択する
リアクティヴ・モニタリングを行い遺産を脅かす危機の性質や範囲を評価し、実施すべき措置を提案する
締約国と協議が行われていない場合は、世界遺産委員会は世界遺産リストからの抹消を決定することはできない
「バグラティ大聖堂とゲラティ修道院」においてバグラティ大聖堂の真正性が損なわれたとしてゲラティ修道院単体での世界遺産登録となった"
基礎知識,世界遺産の定義,世界遺産リストにおける重大かつ特別な危機の例,,,,,,,,,,,,,,,,,,"急速に進む破損
大規模な公共工事、民間事業、急激な都市開発事業、観光開発事業に起因する消失の危機
原因が不明である大規模な変化
理由のいかんに依らない放棄
武力紛争の勃発、またはその恐れ
大規模な災害、異変、大火、地震や地滑り"
基礎知識,世界遺産の定義,緊急的登録推薦,,,,,,,,,,,,,,,,,,顕著な普遍的価値が明らかで危機に直面している遺産を、通常の登録手順を取らずに緊急的に登録すること
基礎知識,世界遺産の定義,世界遺産リストから抹消された遺産,,,,,,,,,,,,,,,,,,"アラビアオリックスの保護地区
ドレスデン・エルベ渓谷
リヴァプール海商都市"
基礎知識,世界遺産の定義,負の遺産,,,,,,,,,,,,,,,,,,"世界遺産条約では定義されていない
2023年では「記憶の場（サイト・オブ・メモリー）」の登録も始まった"
基礎知識,顕著な普遍的価値の評価基準,登録基準,,,,,,,,,,,,,,,,,,10項目からなる登録基準があり、この中から1つ以上が認められなければならない
基礎知識,顕著な普遍的価値の評価基準,ⅰ,,,,,,,,,,,,,,,,,,人類の創造的資質や人間の才能を示す遺産
基礎知識,顕著な普遍的価値の評価基準,ⅱ,,,,,,,,,,,,,,,,,,文化の価値観の相互交流を示す遺産
基礎知識,顕著な普遍的価値の評価基準,ⅲ,,,,,,,,,,,,,,,,,,文化的伝統や文明の存在に関する証拠を示す遺産で人類の化石遺跡なども含まれる
基礎知識,顕著な普遍的価値の評価基準,ⅳ,,,,,,,,,,,,,,,,,,建築様式や建築技術、科学技術の発展段階を示す遺産
基礎知識,顕著な普遍的価値の評価基準,ⅴ,,,,,,,,,,,,,,,,,,独自の伝統的集落や、人類と環境の交流を示す遺産で、農業景観や文化的景観が特徴の遺産
基礎知識,顕著な普遍的価値の評価基準,ⅵ,,,,,,,,,,,,,,,,,,人類の歴史上の出来事や伝統、宗教、芸術などと強く結びつく遺産や無形の要素が重要になっている
基礎知識,顕著な普遍的価値の評価基準,ⅶ,,,,,,,,,,,,,,,,,,自然美や景観美、独特な自然現象を示す遺産
基礎知識,顕著な普遍的価値の評価基準,ⅷ,,,,,,,,,,,,,,,,,,地球の歴史の主要段階を示す遺産で、恐竜や古代生物の化石遺跡も含まれる
基礎知識,顕著な普遍的価値の評価基準,ⅸ,,,,,,,,,,,,,,,,,,動植物の進化や発展の過程、独自の生態系を示す遺産
基礎知識,顕著な普遍的価値の評価基準,ⅹ,,,,,,,,,,,,,,,,,,絶滅危惧種の生息域でもある、生物多様性を示す遺産
基礎知識,世界遺産に関係する概念,真正性,,,,,,,,,,,,,,,,,,"それぞれの文化的背景の独自性や伝統を継承している
個別の構成資産の真正性だけでなく、資産全体としての真正性が評価される
1994年に「真正性に関する奈良会議」で「奈良文書」が採択され、遺産がある場所の地理や気候、環境などの自然条件と、文化・歴史的背景などの文化的文脈との関係の中で評価すべきとされた
文化ごとの真正性が保証される限りは遺産の解体修復や再建なども可能"
基礎知識,世界遺産に関係する概念,真正性の属性,,,,,,,,,,,,,,,,,,"形状と意匠
材料と材質
用途と機能
伝統と技能、管理体制
所在地と周辺環境
言語と、無形遺産のその他の要素
精神性と歓声
その他の内部・外部の要素"
基礎知識,世界遺産に関係する概念,完全性,,,,,,,,,,,,,,,,,,"世界遺産の「顕著な普遍的価値」を構成するために必要な要素がすべて含まれる
長期的な保護のための法律などの体制も整えられていることが求められる
自然遺産は生物学的な家庭や地形上の特徴が比較的無傷であることが求められる
自然遺産では、登録基準ごとに完全性の条件が定義されている"
基礎知識,世界遺産に関係する概念,文化的景観,,,,,,,,,,,,,,,,,,"自然と人間の共同作品に相当し、人間社会が自然環境による制約の中で、社会的、経済的、文化的に影響を受けながら進化してきたことを示す遺産に認められる
そこで暮らす人々が持続可能な土地利用のために進化させた独自の技術や、人々と自然との精神的なつながりを反映していることが多い
1993年「トンガリロ国立公園」において、世界ではじめて文化的景観の価値が認められた
長い直線状のエリアも文化的景観の対象となる"
基礎知識,世界遺産に関係する概念,カテゴリー,,,,,,,,,,,,,,,,,,"意匠された景観:人間によってデザインされ想像された景観
有機的に進化する景観:社会や経済、政治、宗教などに対応して生まれ、自然環境に対応しその関連性の中で形成された景観
関連する景観:自然的な要素が、宗教的、芸術的、文学的な要素と強く関連する景観"
基礎知識,世界遺産に関係する概念,グローバル・ストラテジー,世界遺産リストにおける不均衡の是正及び代表性、信用性の確保のためのグローバル・ストラテジー,,,,,,,,,,,,,,,,,"宮殿や要塞、教会や修道院など「記念碑」的な遺産に偏っていた
遺産の適切な評価を行うための暫定リストの作成と、不備のない推薦書を作成するための能力構築が欠かせない"
基礎知識,世界遺産に関係する概念,シリアル・サイト,,,,,,,,,,,,,,,,,,必ずしも個々の構成資産が「顕著な普遍的価値」を持っている必要はなく、全体として「顕著な普遍的価値」を持っていればよい
基礎知識,世界遺産に関係する概念,トランスバウンダリー・サイト,,,,,,,,,,,,,,,,,,できる限り関係締約国が共同で登録推薦書を作成し、共同管理委員会などの機関を設置して遺産全体の管理を監督することが強く推奨されている
基礎知識,世界遺産に関係する概念,MAB計画,人間と生物圏計画,,,,,,,,,,,,,,,,,"自然保護と地域社会が両立した持続可能な発展を目指している
「核心地域」と「バッファー・ゾーン」の概念を援用している
バッファー・ゾーンの外側である「広域な周辺環境（wider setting）」での森林伐採や都市開発などが大きな課題となっている"
基礎知識,世界遺産に関係する概念,MAB計画の主な活動,,,,,,,,,,,,,,,,,,"生物圏の変化を特定し評価
生態系と社会・経済的なプロセスとの相互関係の研究
人間の基本的な福祉と住みやすい環境の確保
知識の交換と伝達を促進"
基礎知識,世界遺産に関係する概念,バッファー・ゾーン,,,,,,,,,,,,,,,,,,"この設定が自然遺産と文化遺産双方において厳格に求められるようになった
変更したい場合は「軽微な変更」の手続きで委員会から承認を得る必要がある"
基礎知識,世界遺産に関係する概念,記憶の場,,,,,,,,,,,,,,,,,,"国家とその国民（少なくとも国民の一部）もしくはコミュニティが、記憶に残したいと考える出来事が起こった場所
2023年の委員会で「近年の紛争（リーセント・コンフリクツ）」における議論の前提とした「記憶の場」の、関する世界遺産が3件登録された
推薦に際しては関係締約国の対話を通じた合意が重要である
平和と対話の文化を促進するために教育的な役割を果たさなければならない
記憶の歪曲を避けるために事実の正確さを証明する必要がある"
基礎知識,世界遺産に関係する概念,5つのC,世界伊団条約履行のために戦略的目標,,,,,,,,,,,,,,,,,Credibility（信頼性）/Conservation（保全）/Capacity-builiding（能力構築）/Communication（情報伝達）/Communitiis（共同体）
基礎知識,世界遺産に関係する概念,定期報告,,,,,,,,,,,,,,,,,,"6年ごとに定期報告を行う
アラブ→アフリカ→アジア・太平洋→ラテンアメリカ・カリブ海地域→ヨーロッパ・北米の順番で毎年地域を変えている"
基礎知識,世界遺産に関係する概念,リアクティヴ・モニタリング,,,,,,,,,,,,,,,,,,"予期せぬ状況に陥った場合や「顕著な普遍的価値」や保全状況に影響を与える場合は、その都度締約国は個別の報告書と影響調査を提出する
危機遺産リストに記載されている遺産や、記載される可能性がある遺産に実施される他、世界遺産リストから抹消される可能性のある遺産も対象"
基礎知識,世界遺産に関係する概念,緊急的登録推薦,「顕著な普遍的価値」があることに疑いがないと考えられる遺産だが、災害や人的行為による被害や重大で具体的な危機に直面しているときに通常の推薦プロセスえ経ずに審議が行われ世界遺産リストに記載される,,,,,,,,,,,,,,,,,世界遺産リストに記載されるのと同時に、危機遺産リストにも記載される
基礎知識,世界遺産に関係する概念,緊急的登録の推薦書に記載が必要な内容,,,,,,,,,,,,,,,,,,"遺産の内容と正確な境界線
登録基準に照らした「顕著な普遍的価値」の証明
完全性と真正性の証明
保護管理体制についての説明
緊急性の性質や、遺産への被害と特定の危機の内容と程度、遺産を確実に保護するために世界遺産委員会が直ちに動かなければならない理由の説明"
基礎知識,世界遺産に関係する概念,遺産影響評価,,,,,,,,,,,,,,,,,,"「顕著な普遍的価値」の属性が受ける影響について評価するもの
遺産影響評価（HIA）を行うことで、「顕著な普遍的価値」の損失を防ぎ、持続可能な保護のための選択肢を見つけることができる
ガイダンスとツールキットの中では、「影響評価」とは「行動する前に考えること」とも説明されている
「顕著な普遍的価値」に対する正と負の両方の影響を特定し、負の影響の緩和措置を採らなければならない"
基礎知識,世界遺産に関係する概念,遺産影響評価の11の手順,,,,,,,,,,,,,,,,,,"スクリーニング
スコーピング
ベースライン
予定された行為と代替案
影響の特定と予測
影響評価
緩和と強化
報告
報告書のレビュー
意思決定
フォローアップ"
基礎知識,世界遺産リストへの推薦,アップストリーム・プロセス,,,,,,,,,,,,,,,,,,"暫定リストの作成や改訂、プレリミナリー・アセスメントの実施に前に任意で行われるプロセス
暫定リストへの記載準備から世界遺産登録までの全てのプロセスにおいて、諮問機関と世界遺産センターが締約国に直接働きかけて助言や能力強化などの協力を行うことができようにすること
アップストリーム・プロセスを受けて世界遺産登録されたのは、2013年の「ナミブ砂漠」が第1号"
基礎知識,世界遺産リストへの推薦,プレリミナリー・アセスメント（事前評価）,,,,,,,,,,,,,,,,,,"世界遺産リストへ推薦書を提出する前の全ての遺産に必須のプロセス
OUVが認められる可能性の有無や、具体的な助言・アドヴァイスを「事前評価報告書」として締約国に提供する
推薦書を提出する遺産の登録可能性を高める目的のほかに不均衡を是正する対策でもある
締約国と諮問機関の対話の機会強化が特徴"
基礎知識,世界遺産リストへの推薦,プレリミナリー・アセスメントの概要,,,,,,,,,,,,,,,,,,"世界遺産登録は、プレリミナリー・アセスメントと本推薦の2段階のプロセスとなる
諮問機関は書類審査で事前評価報告書を作成する
暫定リストに記載された遺産が対象
各締約国は1年に1件のみ申請できる
トランスバウンダリー・サイトの場合は、どの国の枠で申請するか選ぶことができる
必須のプロセスのため、締約国の費用負担はない
事前評価報告書の有効期限は5年
世界遺産委員会で審議される推薦書には事前評価報告書が添付される
事前評価報告書を受理してから推薦書を提出するまでに最低でも12ヵ月必要"
基礎知識,世界遺産リストへの推薦,世界遺産リスト記載の流れ,,,,,,,,,,,,,,,,,,"推薦を目指す遺産を9月15日までに事前評価申請書を世界遺産センター事務局に提出する
諮問機関は翌年の10月1日までの事前評価報告書を事務局に提出する
事前評価報告書を受け取った締約国は、その12ヵ月後以降の2月1日までに第2段階の本推薦に関わる推薦書を事務局に提出する
2月1日までに提出された推薦書は諮問機関に送られ、翌年の1月31日までに評価の状況や問題点を中間報告書にまとめる
世界遺産委員会の6週間前までに評価報告書にまとめられ、4段階の韓国とともに、事務局を通して締約国と世界遺産委員会に提出される
世界遺産委員会での審議は、基本的には合意形成という形で4段階の決議が出される"
基礎知識,世界遺産リストへの推薦,推薦書,,,,,,,,,,,,,,,,,,"資産の範囲
内容
価値証明
保全状況と遺産に影響を与える諸条件
遺産の保護管理
モニタリング
資料
管理機関の連絡先
締約国代表署名"
基礎知識,世界遺産リストへの推薦,登録後の変更,,,,,,,,,,,,,,,,,,"範囲の軽微な変更:遺産の範囲に重大な影響を及ぼさず「顕著な普遍的価値」に影響を与えない変更で、審議が行われる年の2月1日までに申請書類を世界遺産センターに提出する
範囲の重大な変更:遺産の境界線に重大な影響を及ぼし、「顕著な普遍的価値」にも影響を与えるような変更で、審議を希望する世界遺産委員会の前年の2月1日までに再推薦書を提出する
登録基準の変更:世界遺産リストに記載されたときに認められた登録基準と異なる基準で記載や追加登録を希望する変更で、審議を希望する世界遺産委員会の前年の2月1日までに再推薦書を提出する
名称の変更:名称の変更で審議を希望する世界遺産委員会の3ヵ月前までに世界遺産センターに申請書を提出する"
基礎知識,世界遺産条約と関係する憲章・条約など,アテネ憲章,歴史的記念建造物の修復のためのアテネ憲章,,,,,,,,,,,,,,,,,"修復の際にはいかなる時代の様式も無視せずに過去の歴史的・芸術的作品を尊重すること
「完全な復元」は行わないこと
アナスタイロシスという遺跡などで発見された当初の部材を可能な限り用いて修復する技法を用いる
修復の際には鉄筋コンクリートなどの近代的な材料や技術を用いることができる
記念建造物は周辺に配慮し、修復では元の外観や性格を尊重すること"
基礎知識,世界遺産条約と関係する憲章・条約など,ヴェネツィア憲章,記念建造物及び遺跡の修復のための国際憲章,,,,,,,,,,,,,,,,,"歴史ある建築の保存と修復の考え方を国際的な基盤に基づき一致させ、各国がそれぞれの独自の文化と伝統の枠の中でこの考え方を適用することが不可欠である
歴史的記念建造物には、単一の建築作品だけでなく、都市景観や田舎の建築環境も含まれる
記念物や建造物、遺跡などを芸術作品かつ歴史的証拠として保護する
美的価値と歴史的価値を保存して示すため、修復の際には建設当時の工法や素材を尊重し、推測による修復を行ってはならない
近代的な技術を用いることができるのは、伝統的な技術が明らかに不適切である場合のみ"
基礎知識,世界遺産条約と関係する憲章・条約など,奈良文書,真正性に関する奈良会議,,,,,,,,,,,,,,,,,"世界の文化と遺産の多様性は、全人類にとって精神的かつ知的な豊かさのかけがえのない源
固定された基準の中で価値と真正性の評価を下すことは不可能である"
基礎知識,世界遺産条約と関係する憲章・条約など,ハーグ条約,武力紛争の際の文化財の保護に関する条約,,,,,,,,,,,,,,,,,
基礎知識,世界遺産条約と関係する憲章・条約など,ウィーン・メモランダム,世界遺産と近代建築－歴史的都市景観の管理,,,,,,,,,,,,,,,,,"歴史的都市景観の中で価値を高めることを確実にし、街の歴史的な性格を損ねない範囲に留めるための特別な配慮が必要である
歴史的都市景観の概念を推薦書等の保護計画に含むことが推奨されている
世界遺産の「顕著な普遍的価値」の保護は、どんな保護方針や運営方針よりも中心に据えられるべきであることをより深く再認識することが必要"
基礎知識,世界遺産条約と関係する憲章・条約など,ラムサール条約,特に水鳥の生息地として国際的に重要な湿地に関する条約,,,,,,,,,,,,,,,,,"湿地の保全と再生
湿地の賢い利用
交流と学習"
基礎知識,世界遺産条約と関係する憲章・条約など,文化財の不法な輸入、輸出及び所有権譲渡の禁止、並びに防止の手段に関する条約,,,,,,,,,,,,,,,,,,文化財の密貿易などを禁止する
基礎知識,世界遺産条約と関係する憲章・条約など,公的又は指摘の工事によって危機にさらされる文化財の保存に関する勧告,,,,,,,,,,,,,,,,,,文化遺産の保存と開発計画との調和を図ることは各国の義務として求めている
基礎知識,世界遺産条約と関係する憲章・条約など,水中文化遺産の保護に関する条約,,,,,,,,,,,,,,,,,,文化的、歴史的、または考古学的な性質を持つ人類の存在の全ての痕跡であり、その一部もしくは全部が100年以水中にあったものを保護する
基礎知識,世界遺産条約と関係する憲章・条約など,ラムサール条約,絶滅のおそれのある野生動植物の種の国際取引に関する条約,,,,,,,,,,,,,,,,,野生動植物の特定の種が過度に国際取引に利用されることが内容に保護すること
基礎知識,世界遺産条約と関係する憲章・条約など,ニジニー・タギル憲章,「国際産業遺産保存委員会（TICCIH）」が採択した産業遺産に関する憲章,,,,,,,,,,,,,,,,,産業遺産を産業に関わる社会活動のために使用される場所全てで構成されると定義した
基礎知識,世界遺産条約誕生の背景,世界遺産条約採択までの流れ,,,,,,,,,,,,,,,,,,"1872年に「イエローストーン国立公園」が世界で最初の国立公園に指定された
1899年のハーグ陸戦条約で歴史的記念建造物を攻撃したり、攻撃されないように印をつけることなどが定められた
第二次世界大戦では各都市の非武装化と都市部の文化財の保護を求める「無防備都市」を赤十字国際委員会などが進めた
1959年の「ヌビアの遺跡群救済キャンペーン」が文化遺産保護の大きな契機となった
文化遺産と自然遺産の両方を保護する「世界遺産トラスト」の構想が出され、「国連人間環境会議」に提出された"
基礎知識,世界遺産条約誕生の背景,ヌビアの遺跡群キャンペーン,,,,,,,,,,,,,,,,,,"ナセル大統領がアスワン・ハイ・ダムの建設を計画したが、サワルト・オカーシャが異議を唱えた
ヴィットリーノ・ヴェロネーゼやアンドレ・マルローがヌビアの重要性とそのキャンペーンが歴史的出来事であることを訴えた"
日本,北海道・北東北の縄文遺跡群,総評,"北海道
青森県
岩手県
秋田県",(ⅲ)(ⅴ),,,,,,,,,"周堤墓
低湿地遺跡
捨て場",,,,,,冷温帯落葉広葉樹林,縄文海進が遠浅な内湾の出現や海流の活発化を促し、水産資源が豊富な環境へと変化した
日本,北海道・北東北の縄文遺跡群,居住地の形成,,,,,,,,,,,大平山元遺跡,,,,,,,煮沸用の土器が出現している
日本,北海道・北東北の縄文遺跡群,集落の成立,,,,,,,,,,,垣ノ島遺跡,,,,,,,"居住域と墓域の分離
集落内の機能の分化"
日本,北海道・北東北の縄文遺跡群,集落施設の多様化,,,,,,,,,,,"北黄金貝塚
田小屋野貝塚
二ツ森貝塚",,,,,,,"集落の施設の充実
祭祀場的な捨て場が形成"
日本,北海道・北東北の縄文遺跡群,拠点集落の出現,,,,,,,,,,,"三内丸山遺跡
大船遺跡
御所野貝塚",大型掘立柱建物で多くの土偶やヒスイの大珠が出土している//火を使った祭祀が繰り返し行われてきたことを示す,,,,,,"集落の祭祀場が多様となる
祭祀場が顕著となる"
日本,北海道・北東北の縄文遺跡群,共同の祭祀場と墓地の進出,,,,,,,,,,,"入江貝塚
小牧野遺跡
伊勢堂岱遺跡
大湯環状列石",周囲の手厚い介護を受けながら成人まで生きたことを示している///万座環状列石と野中堂環状列石からなる,,,,,,"集落は小規模となり分散
集落外に共同の祭祀場と墓地を構築、持続、管理"
日本,北海道・北東北の縄文遺跡群,祭祀場と墓地の分離,,,,,,,,,,,"キウス周堤墓群
大森勝山遺跡
高砂貝塚
亀ヶ岡石器時代遺跡
是川石器時代遺跡",///漆塗土器や遮光器土偶が出土している/,,,,,,祭祀・儀礼が充実し、共同墓地・共同祭祀が顕著となる
